Code,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,II_MQ,PI_MF,SI_MF,II_MF,SI_E,Unemployment,Act_pop_total,Employed_total,Unemployed_3mts,Unemployed_3_6mts,Unemployed_6_12mts,Unemployed_ov6,HousePrice,HousePrice_S,HousePrice_P,BSI_BC,BSI_SG,BSI_P,BSI_FS,BSI_HR,PI_P,PI_C,PI_SI,PI_PA,MB,Currency_cir,CBLIAB_DC,M1,M2,CD,CP,YT_1,YT_3,YT_5,YT_10,CB_3_AA,BaseRate,CB_3_BBB,FX_US,FX_JP,FX_EU,FX_BR,FX_CA,FX_SW,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,SPI_I,SPI_F,SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,EPI_A,EPI_M,KOSPI,KOSDAQ,Expected_inf,Oilprice,TB_spread,USCPI,IR_bigfirm,IR_smallfirm,IR_firm,IR_House,IR_saving,IR_gen_credit,USB_10,LeadingCI,LaggingCI,vkospi,EPU,MP,FiscalP,TradeP,FXP,COFIX_new
18.Sep,92.9000 ,91.5000 ,114.2000 ,113.4000 ,109.9000 ,106.5000 ,97.4000 ,95.2000 ,109.0000 ,106.1000 ,103.4000 ,107.6000 ,106.1000 ,103.0000 ,107.6000 ,89.8000 ,79.8000 ,106.2000 ,103.0000 ,107.6000 ,105.7000 ,111.5000 ,3.6000 ,28079.0000 ,27055.0000 ,520.0000 ,322.0000 ,172.0000 ,183.0000 ,90.4000 ,87.2000 ,93.3000 ,77.0000 ,84.0000 ,85.0000 ,84.0000 ,88.0000 ,106.1000 ,120.4000 ,107.4000 ,106.7000 ,168958.6000 ,100888.3000 ,68070.3000 ,843837.5000 ,2650453.3000 ,1.6500 ,1.8100 ,1.7900 ,1.9530 ,2.1280 ,2.3150 ,2.4030 ,1.5000 ,8.4760 ,1120.6000 ,1002.7800 ,1304.7400 ,1461.3000 ,858.1600 ,1157.0900 ,100.2210 ,101.4240 ,99.1780 ,97.9520 ,97.5680 ,104.6690 ,101.8900 ,96.8070 ,125.0000 ,104.9500 ,103.1300 ,107.2800 ,97.7100 ,150.8400 ,151.2200 ,111.0300 ,106.0600 ,117.8400 ,106.2600 ,2343.0700 ,822.2700 ,2.5000 ,70.2300 ,0.5250 ,252.2390 ,3.2100 ,3.8800 ,3.5900 ,3.2900 ,3.2200 ,4.3900 ,3.0000 ,112.6000 ,110.9000 ,11.2400 ,91.0165 ,96.9221 ,107.0528 ,150.1997 ,54.8806 ,1.8300 
18.Oct,94.5000 ,93.0000 ,112.6000 ,114.6000 ,111.3000 ,107.5000 ,99.1000 ,96.1000 ,114.5000 ,107.7000 ,105.1000 ,109.5000 ,107.4000 ,104.6000 ,109.5000 ,88.4000 ,81.8000 ,107.5000 ,104.6000 ,109.5000 ,110.8000 ,115.6000 ,3.5000 ,28063.0000 ,27090.0000 ,461.0000 ,348.0000 ,148.0000 ,163.0000 ,90.5000 ,87.6000 ,93.3000 ,77.0000 ,83.0000 ,85.0000 ,85.0000 ,88.0000 ,107.7000 ,119.5000 ,107.8000 ,107.8000 ,170349.9000 ,102919.6000 ,67430.3000 ,845894.3000 ,2675542.5000 ,1.6800 ,1.8200 ,1.8530 ,2.0100 ,2.1640 ,2.3380 ,2.4520 ,1.5000 ,8.5150 ,1130.8100 ,1002.9700 ,1299.5500 ,1472.1300 ,869.2500 ,1138.3800 ,100.0410 ,98.7480 ,99.1780 ,98.3530 ,97.4720 ,106.0990 ,101.9480 ,96.6260 ,127.8200 ,105.2800 ,102.7500 ,107.8800 ,99.3400 ,153.5300 ,156.8700 ,114.1300 ,107.0100 ,117.4000 ,106.7900 ,2029.6900 ,648.6700 ,2.5000 ,70.7500 ,0.4850 ,252.8620 ,3.4200 ,3.8400 ,3.6700 ,3.3100 ,3.2300 ,4.4500 ,3.1500 ,112.6000 ,111.3000 ,20.4900 ,102.3522 ,138.6230 ,106.7774 ,177.4784 ,96.4005 ,1.9300 
18.Nov,91.7000 ,90.9000 ,112.7000 ,111.4000 ,107.1000 ,110.8000 ,98.6000 ,95.1000 ,117.2000 ,105.7000 ,102.0000 ,112.2000 ,105.5000 ,101.5000 ,112.2000 ,88.8000 ,80.4000 ,105.5000 ,101.5000 ,112.2000 ,108.9000 ,113.4000 ,3.2000 ,28092.0000 ,27184.0000 ,429.0000 ,336.0000 ,131.0000 ,143.0000 ,90.7000 ,87.8000 ,93.3000 ,73.0000 ,80.0000 ,83.0000 ,81.0000 ,88.0000 ,105.7000 ,118.2000 ,106.9000 ,107.9000 ,170069.2000 ,103090.6000 ,66978.5000 ,847303.8000 ,2688894.3000 ,1.7100 ,1.8500 ,1.8440 ,1.9400 ,2.0480 ,2.2090 ,2.4030 ,1.7500 ,8.4540 ,1128.5800 ,996.0200 ,1282.4400 ,1456.0700 ,855.2900 ,1127.2100 ,99.3300 ,95.6750 ,99.5110 ,98.2500 ,97.3950 ,104.3690 ,101.9480 ,96.8790 ,129.0400 ,104.5600 ,102.3800 ,107.3800 ,99.1200 ,156.6000 ,129.2900 ,115.6100 ,104.2400 ,116.1000 ,103.4400 ,2096.8600 ,695.7600 ,2.4000 ,56.9600 ,0.3650 ,252.6570 ,3.4200 ,3.8700 ,3.6800 ,3.2800 ,3.2500 ,4.5600 ,3.1200 ,112.7000 ,111.7000 ,18.5700 ,113.9867 ,109.5547 ,123.4339 ,191.2809 ,59.7269 ,1.9600 
18.Dec,90.4000 ,90.3000 ,112.5000 ,108.6000 ,102.7000 ,112.0000 ,95.5000 ,93.2000 ,117.2000 ,103.9000 ,99.8000 ,114.0000 ,103.5000 ,99.1000 ,114.0000 ,84.0000 ,69.4000 ,103.6000 ,99.2000 ,114.0000 ,109.8000 ,114.3000 ,3.4000 ,27582.0000 ,26638.0000 ,456.0000 ,316.0000 ,156.0000 ,172.0000 ,90.6000 ,87.9000 ,93.3000 ,73.0000 ,81.0000 ,84.0000 ,82.0000 ,89.0000 ,103.9000 ,117.1000 ,107.0000 ,107.4000 ,173576.0000 ,103696.7000 ,69879.3000 ,845437.3000 ,2698211.0000 ,1.9100 ,1.9700 ,1.7760 ,1.8250 ,1.8930 ,1.9920 ,2.3040 ,1.7500 ,8.3730 ,1122.9000 ,999.2100 ,1277.0000 ,1421.7000 ,836.3900 ,1131.0800 ,98.9880 ,95.8420 ,99.5500 ,98.2320 ,97.3570 ,101.3290 ,101.9970 ,96.7070 ,119.6400 ,103.0800 ,102.2400 ,104.9900 ,97.4600 ,156.7100 ,112.4700 ,114.8100 ,101.9600 ,119.8000 ,100.5400 ,2041.0400 ,675.6500 ,2.4000 ,49.5200 ,0.2160 ,252.5510 ,3.5000 ,3.9800 ,3.6900 ,3.1900 ,3.2600 ,4.6400 ,2.8300 ,112.6000 ,112.1000 ,18.9900 ,120.0069 ,141.4969 ,121.6847 ,215.9386 ,80.0543 ,2.0400 
19.Jan,90.2000 ,90.8000 ,113.4000 ,110.2000 ,106.1000 ,109.7000 ,97.5000 ,96.9000 ,110.5000 ,105.4000 ,102.6000 ,110.5000 ,105.1000 ,102.0000 ,110.5000 ,90.3000 ,84.7000 ,105.2000 ,102.0000 ,110.5000 ,109.9000 ,114.2000 ,4.5000 ,27455.0000 ,26232.0000 ,776.0000 ,293.0000 ,141.0000 ,155.0000 ,90.5000 ,87.7000 ,93.1000 ,71.0000 ,79.0000 ,83.0000 ,81.0000 ,91.0000 ,105.4000 ,126.1000 ,108.3000 ,106.5000 ,171178.9000 ,104587.1000 ,66591.8000 ,850501.9000 ,2726404.7000 ,1.8700 ,1.9700 ,1.7330 ,1.8070 ,1.8790 ,1.9910 ,2.2630 ,1.7500 ,8.3430 ,1122.0000 ,1030.4700 ,1281.5200 ,1446.3600 ,842.5900 ,1134.7400 ,98.8840 ,95.7890 ,98.9010 ,98.9780 ,98.2620 ,98.8990 ,102.4560 ,97.3570 ,114.2000 ,102.4200 ,102.4000 ,103.8000 ,97.0000 ,147.5000 ,115.8600 ,117.2600 ,101.1700 ,120.5500 ,99.1500 ,2204.8500 ,716.8600 ,2.3000 ,51.3800 ,0.2580 ,252.4700 ,3.5800 ,4.0000 ,3.7900 ,3.1200 ,3.2600 ,4.5700 ,2.7100 ,112.8000 ,112.4000 ,15.5100 ,124.9737 ,124.3077 ,133.5090 ,210.6303 ,67.7865 ,1.9900 
19.Feb,86.9000 ,87.1000 ,113.1000 ,107.8000 ,104.4000 ,111.3000 ,94.3000 ,93.5000 ,109.5000 ,102.2000 ,100.2000 ,110.9000 ,101.8000 ,99.5000 ,110.9000 ,86.0000 ,76.5000 ,101.9000 ,99.5000 ,110.9000 ,109.4000 ,114.4000 ,4.7000 ,27649.0000 ,26346.0000 ,862.0000 ,288.0000 ,139.0000 ,153.0000 ,90.4000 ,87.6000 ,93.0000 ,68.0000 ,79.0000 ,82.0000 ,80.0000 ,90.0000 ,102.2000 ,118.7000 ,106.4000 ,107.2000 ,173991.3000 ,105264.0000 ,68727.2000 ,853763.8000 ,2731447.6000 ,1.8700 ,1.9700 ,1.7600 ,1.8020 ,1.8690 ,1.9880 ,2.2490 ,1.7500 ,8.3290 ,1122.4500 ,1016.4800 ,1272.4700 ,1459.4800 ,848.9800 ,1119.9900 ,99.3110 ,96.4410 ,99.5210 ,100.3670 ,98.3580 ,98.6990 ,102.5630 ,97.6640 ,114.0600 ,102.5400 ,102.3100 ,103.9100 ,96.5800 ,148.2000 ,126.6900 ,120.0000 ,101.9900 ,117.2700 ,99.5800 ,2195.4400 ,731.2500 ,2.3000 ,54.9500 ,0.2280 ,253.1350 ,3.5600 ,3.9300 ,3.7400 ,3.0800 ,3.2400 ,4.4900 ,2.6800 ,113.0000 ,112.7000 ,15.4900 ,97.1400 ,82.6533 ,96.6071 ,150.6110 ,32.3373 ,1.9200 
19.Mar,89.8000 ,88.1000 ,114.3000 ,108.6000 ,106.4000 ,108.6000 ,97.5000 ,95.5000 ,108.9000 ,104.1000 ,102.0000 ,109.4000 ,103.8000 ,101.6000 ,109.4000 ,86.5000 ,75.7000 ,103.9000 ,101.7000 ,109.4000 ,109.1000 ,109.9000 ,4.3000 ,28002.0000 ,26805.0000 ,739.0000 ,312.0000 ,133.0000 ,146.0000 ,90.3000 ,87.5000 ,92.9000 ,76.0000 ,82.0000 ,87.0000 ,84.0000 ,90.0000 ,104.1000 ,120.0000 ,107.5000 ,104.6000 ,174569.4000 ,105625.6000 ,68943.8000 ,856289.9000 ,2746628.1000 ,1.9000 ,1.9800 ,1.7690 ,1.7890 ,1.8380 ,1.9530 ,2.2440 ,1.7500 ,8.3180 ,1130.7200 ,1017.3500 ,1278.4700 ,1490.7100 ,845.9100 ,1130.4400 ,99.1210 ,95.5080 ,99.2260 ,100.2920 ,98.3290 ,99.2890 ,102.6020 ,97.8360 ,118.2500 ,103.1500 ,102.7000 ,104.9100 ,98.6100 ,145.4600 ,132.2600 ,112.2600 ,103.8600 ,118.0500 ,99.7800 ,2140.6700 ,729.3100 ,2.3000 ,58.1500 ,0.1840 ,254.2730 ,3.5000 ,3.8400 ,3.6800 ,3.0400 ,3.2600 ,4.6300 ,2.5700 ,113.4000 ,112.9000 ,14.2900 ,96.6271 ,89.6488 ,111.2306 ,158.5502 ,36.8552 ,1.9400 
19.Apr,90.5000 ,89.5000 ,119.3000 ,114.4000 ,106.2000 ,112.6000 ,99.4000 ,95.2000 ,110.4000 ,106.1000 ,102.2000 ,112.9000 ,105.8000 ,101.5000 ,112.9000 ,85.1000 ,72.5000 ,105.9000 ,101.6000 ,112.9000 ,111.1000 ,116.9000 ,4.4000 ,28284.0000 ,27038.0000 ,789.0000 ,335.0000 ,113.0000 ,121.0000 ,90.1000 ,87.3000 ,92.7000 ,76.0000 ,82.0000 ,86.0000 ,83.0000 ,89.0000 ,106.1000 ,120.6000 ,108.3000 ,108.6000 ,176057.8000 ,106462.8000 ,69595.1000 ,861164.0000 ,2761141.3000 ,1.8600 ,1.9800 ,1.7510 ,1.7360 ,1.7710 ,1.8890 ,2.2070 ,1.7500 ,8.2800 ,1140.9500 ,1021.8900 ,1281.7700 ,1486.3100 ,853.0300 ,1132.6300 ,99.4810 ,96.3180 ,98.9590 ,100.7400 ,98.4060 ,100.7690 ,102.6600 ,98.0520 ,119.9200 ,103.7200 ,103.0200 ,105.5900 ,99.7500 ,151.3200 ,141.4300 ,104.3300 ,104.7100 ,116.6900 ,100.4600 ,2203.5900 ,754.7400 ,2.1000 ,63.8600 ,0.1380 ,255.1630 ,3.5300 ,3.8300 ,3.6700 ,2.9800 ,3.2100 ,4.5400 ,2.5300 ,113.7000 ,113.1000 ,13.2800 ,90.2782 ,112.2960 ,134.4973 ,127.3834 ,51.9920 ,1.8500 
19.May,90.5000 ,90.1000 ,118.0000 ,114.3000 ,107.1000 ,112.2000 ,98.7000 ,95.3000 ,114.5000 ,105.9000 ,102.0000 ,113.2000 ,105.6000 ,101.5000 ,113.2000 ,84.6000 ,74.1000 ,105.7000 ,101.6000 ,113.2000 ,109.6000 ,112.9000 ,4.0000 ,28468.0000 ,27322.0000 ,628.0000 ,408.0000 ,105.0000 ,109.0000 ,89.9000 ,87.1000 ,92.6000 ,77.0000 ,82.0000 ,85.0000 ,83.0000 ,89.0000 ,105.9000 ,122.3000 ,108.5000 ,109.1000 ,176827.8000 ,107047.1000 ,69780.7000 ,866794.2000 ,2775854.4000 ,1.8400 ,1.9500 ,1.7110 ,1.6790 ,1.7160 ,1.8280 ,2.1530 ,1.7500 ,8.2240 ,1183.2900 ,1075.9000 ,1323.6500 ,1518.8500 ,879.2800 ,1170.9000 ,99.6520 ,95.8160 ,99.0540 ,99.7050 ,98.4160 ,103.0490 ,102.7480 ,98.3950 ,125.5400 ,104.6100 ,103.4800 ,107.0000 ,104.2700 ,152.8900 ,143.4600 ,103.4100 ,107.3200 ,118.9700 ,103.0200 ,2041.7400 ,696.4700 ,2.2000 ,60.8300 ,0.1170 ,255.3250 ,3.4700 ,3.7900 ,3.6300 ,2.9300 ,3.2000 ,4.4000 ,2.4000 ,113.7000 ,113.5000 ,17.3200 ,107.7740 ,104.2393 ,140.5388 ,259.0359 ,136.5139 ,1.8500 
19.Jun,89.0000 ,88.5000 ,115.9000 ,114.3000 ,107.8000 ,111.7000 ,96.0000 ,94.2000 ,114.3000 ,106.4000 ,102.2000 ,112.5000 ,106.3000 ,101.8000 ,112.5000 ,85.8000 ,72.7000 ,106.3000 ,101.9000 ,112.5000 ,108.2000 ,110.9000 ,4.0000 ,28545.0000 ,27408.0000 ,550.0000 ,466.0000 ,115.0000 ,121.0000 ,89.8000 ,87.0000 ,92.4000 ,73.0000 ,81.0000 ,84.0000 ,81.0000 ,89.0000 ,106.4000 ,123.0000 ,107.0000 ,108.7000 ,178676.5000 ,107749.6000 ,70926.8000 ,869529.2000 ,2797097.7000 ,1.8000 ,1.9300 ,1.5600 ,1.4960 ,1.5300 ,1.6180 ,2.0040 ,1.7500 ,8.0970 ,1175.6200 ,1087.7100 ,1327.3200 ,1489.8200 ,884.0900 ,1188.9700 ,99.4910 ,94.7680 ,99.1020 ,99.4440 ,98.7140 ,103.2990 ,102.7970 ,98.1520 ,123.9000 ,103.9900 ,103.2000 ,106.2700 ,103.9000 ,141.0500 ,126.9100 ,104.1600 ,105.0400 ,117.1200 ,100.7300 ,2130.6200 ,690.5300 ,2.1000 ,54.6600 ,0.0580 ,255.3610 ,3.3800 ,3.7100 ,3.5000 ,2.7400 ,3.2100 ,4.2300 ,2.0700 ,113.7000 ,113.7000 ,14.4300 ,111.6629 ,140.4628 ,134.9485 ,291.0915 ,70.3342 ,1.7800 
19.Jul,92.0000 ,89.7000 ,118.2000 ,117.5000 ,111.0000 ,115.3000 ,97.4000 ,92.6000 ,117.2000 ,108.6000 ,103.7000 ,115.8000 ,108.5000 ,103.4000 ,115.8000 ,86.3000 ,73.6000 ,108.6000 ,103.4000 ,115.8000 ,108.8000 ,110.6000 ,3.9000 ,28480.0000 ,27383.0000 ,533.0000 ,422.0000 ,131.0000 ,142.0000 ,89.7000 ,87.0000 ,92.3000 ,75.0000 ,78.0000 ,84.0000 ,83.0000 ,91.0000 ,108.6000 ,119.9000 ,108.2000 ,112.6000 ,177709.5000 ,108396.6000 ,69312.9000 ,873539.8000 ,2810735.2000 ,1.6800 ,1.8600 ,1.4780 ,1.3820 ,1.4210 ,1.5060 ,1.8850 ,1.5000 ,7.9890 ,1175.3100 ,1085.9100 ,1319.4200 ,1467.7100 ,897.4500 ,1190.4200 ,99.1870 ,93.9230 ,99.1110 ,100.3570 ,98.5220 ,102.5690 ,102.7970 ,98.2240 ,117.7700 ,103.7200 ,103.1100 ,105.3600 ,101.9200 ,139.8000 ,129.9600 ,107.0700 ,105.1900 ,116.9600 ,100.3800 ,2024.5500 ,630.1800 ,2.1000 ,57.3500 ,0.0280 ,255.9000 ,3.3100 ,3.6600 ,3.4600 ,2.6400 ,3.1200 ,3.9600 ,2.0600 ,113.7000 ,114.0000 ,15.2900 ,154.5466 ,136.1492 ,140.2320 ,473.1719 ,53.6244 ,1.6800 
19.Aug,93.1000 ,89.6000 ,117.0000 ,114.1000 ,109.9000 ,113.0000 ,95.2000 ,98.1000 ,112.8000 ,106.6000 ,104.2000 ,113.2000 ,106.4000 ,103.8000 ,113.2000 ,86.4000 ,75.2000 ,106.5000 ,103.9000 ,113.2000 ,109.5000 ,110.7000 ,3.0000 ,28216.0000 ,27358.0000 ,361.0000 ,333.0000 ,150.0000 ,164.0000 ,89.7000 ,87.1000 ,92.2000 ,71.0000 ,76.0000 ,83.0000 ,82.0000 ,89.0000 ,106.6000 ,120.7000 ,109.7000 ,112.0000 ,181840.0000 ,109507.8000 ,72332.2000 ,881247.1000 ,2835353.0000 ,1.4900 ,1.7300 ,1.1860 ,1.1640 ,1.2010 ,1.2540 ,1.6890 ,1.5000 ,7.7910 ,1208.9800 ,1137.4500 ,1345.5500 ,1469.7500 ,911.4100 ,1234.7100 ,99.4250 ,94.8210 ,99.1110 ,100.0120 ,98.5310 ,102.5790 ,102.8260 ,98.1880 ,122.0800 ,104.2900 ,103.8300 ,106.3300 ,104.5200 ,139.3200 ,124.9200 ,115.3400 ,106.4600 ,119.3600 ,101.7500 ,1967.7900 ,610.5500 ,2.0000 ,54.8100 ,0.0680 ,256.1790 ,3.1100 ,3.4500 ,3.2400 ,2.4700 ,3.0200 ,3.6300 ,1.6300 ,114.0000 ,114.3000 ,15.7500 ,169.1700 ,156.8310 ,179.0443 ,498.7911 ,206.7147 ,1.5200 
19.Sep,95.7000 ,92.0000 ,127.2000 ,115.8000 ,111.4000 ,112.6000 ,97.4000 ,93.2000 ,115.2000 ,108.0000 ,103.9000 ,114.6000 ,107.9000 ,103.6000 ,114.6000 ,78.8000 ,68.3000 ,108.1000 ,103.7000 ,114.6000 ,108.7000 ,110.9000 ,3.1000 ,28288.0000 ,27404.0000 ,430.0000 ,279.0000 ,163.0000 ,174.0000 ,89.7000 ,87.2000 ,92.1000 ,72.0000 ,79.0000 ,83.0000 ,82.0000 ,90.0000 ,108.0000 ,118.7000 ,108.4000 ,110.3000 ,181727.7000 ,110945.3000 ,70782.4000 ,885564.4000 ,2851485.5000 ,1.5400 ,1.7200 ,1.2280 ,1.2870 ,1.3530 ,1.4200 ,1.7920 ,1.5000 ,7.8940 ,1197.5500 ,1115.6900 ,1318.5100 ,1479.0500 ,903.9400 ,1209.5600 ,99.7940 ,97.3040 ,99.1490 ,99.3130 ,98.6180 ,102.9790 ,101.0310 ,98.1880 ,120.2400 ,103.7000 ,103.8700 ,105.6000 ,104.8300 ,127.4500 ,127.9200 ,116.2500 ,105.8200 ,118.0300 ,100.9000 ,2063.0500 ,621.7600 ,1.8000 ,56.9500 ,0.1920 ,256.5960 ,3.3000 ,3.5000 ,3.3800 ,2.5100 ,3.0800 ,3.8600 ,1.7000 ,114.4000 ,114.6000 ,15.1500 ,116.4803 ,138.6348 ,106.6212 ,259.1387 ,59.7256 ,1.5700 
19.Oct,92.9000 ,93.3000 ,126.1000 ,115.1000 ,109.5000 ,111.8000 ,96.9000 ,92.8000 ,115.0000 ,106.9000 ,103.1000 ,114.2000 ,107.0000 ,102.8000 ,114.2000 ,80.3000 ,73.6000 ,107.1000 ,102.9000 ,114.2000 ,104.9000 ,107.7000 ,3.0000 ,28373.0000 ,27509.0000 ,494.0000 ,232.0000 ,131.0000 ,139.0000 ,89.8000 ,87.4000 ,92.0000 ,74.0000 ,79.0000 ,85.0000 ,83.0000 ,89.0000 ,106.9000 ,120.2000 ,108.7000 ,112.7000 ,182725.8000 ,111703.6000 ,71022.2000 ,890299.8000 ,2875664.3000 ,1.4600 ,1.6900 ,1.2980 ,1.3570 ,1.4420 ,1.5770 ,1.8610 ,1.2500 ,7.9700 ,1184.1300 ,1094.1900 ,1309.0300 ,1498.7300 ,898.2200 ,1192.1000 ,100.0410 ,97.4970 ,99.3210 ,100.4970 ,98.6660 ,103.5890 ,101.1680 ,98.2600 ,118.0500 ,103.4600 ,103.5100 ,105.1600 ,104.1300 ,118.7500 ,122.8800 ,110.7600 ,104.3100 ,113.5800 ,98.8200 ,2083.4800 ,658.5200 ,1.7000 ,53.9600 ,0.2790 ,257.3050 ,3.1300 ,3.3900 ,3.2500 ,2.5000 ,3.0200 ,3.9000 ,1.7100 ,115.1000 ,114.9000 ,13.5900 ,119.0641 ,143.3473 ,131.9491 ,255.4712 ,62.8002 ,1.5500 
19.Nov,91.6000 ,91.4000 ,122.7000 ,115.7000 ,107.1000 ,112.6000 ,95.5000 ,92.2000 ,114.0000 ,107.5000 ,101.2000 ,114.2000 ,107.5000 ,100.8000 ,114.2000 ,84.0000 ,75.0000 ,107.5000 ,100.9000 ,114.2000 ,106.8000 ,109.1000 ,3.1000 ,28380.0000 ,27515.0000 ,470.0000 ,258.0000 ,132.0000 ,138.0000 ,90.0000 ,87.7000 ,92.1000 ,72.0000 ,77.0000 ,85.0000 ,82.0000 ,90.0000 ,107.5000 ,117.4000 ,109.5000 ,110.9000 ,184750.1000 ,112673.1000 ,72076.9000 ,906600.4000 ,2897291.2000 ,1.5200 ,1.6500 ,1.3860 ,1.4920 ,1.5930 ,1.7500 ,2.0020 ,1.2500 ,8.1120 ,1167.4500 ,1072.8700 ,1290.5600 ,1504.5700 ,882.2600 ,1176.2000 ,99.4810 ,94.9880 ,99.8930 ,99.7140 ,98.6370 ,103.1090 ,101.2170 ,98.3230 ,115.1500 ,102.9500 ,103.2900 ,104.3800 ,104.4500 ,110.6100 ,126.4600 ,108.3900 ,102.7700 ,111.3300 ,96.6900 ,2087.9600 ,632.9900 ,1.7000 ,57.0300 ,0.3640 ,257.7880 ,3.0500 ,3.4500 ,3.2400 ,2.4500 ,3.0500 ,3.9000 ,1.8100 ,115.8000 ,115.1000 ,13.9600 ,100.5970 ,81.8666 ,111.7268 ,178.9727 ,38.8762 ,1.6300 
19.Dec,97.8000 ,95.6000 ,120.4000 ,116.7000 ,110.0000 ,107.9000 ,98.1000 ,93.5000 ,112.9000 ,110.5000 ,105.2000 ,110.9000 ,110.5000 ,105.0000 ,110.9000 ,89.4000 ,78.6000 ,110.6000 ,105.1000 ,110.9000 ,106.9000 ,107.2000 ,3.4000 ,28095.0000 ,27154.0000 ,535.0000 ,279.0000 ,122.0000 ,128.0000 ,90.3000 ,88.3000 ,92.2000 ,73.0000 ,79.0000 ,85.0000 ,82.0000 ,89.0000 ,110.5000 ,121.5000 ,109.6000 ,113.4000 ,187330.2000 ,114040.0000 ,73290.1000 ,928009.0000 ,2910221.1000 ,1.5300 ,1.6700 ,1.3500 ,1.3900 ,1.4810 ,1.6530 ,1.9480 ,1.2500 ,8.0590 ,1175.8400 ,1077.2200 ,1306.3300 ,1540.7200 ,892.2100 ,1195.3900 ,99.7190 ,95.9740 ,99.8930 ,100.1900 ,98.7340 ,103.5690 ,101.2750 ,98.3410 ,116.2300 ,103.1200 ,103.8100 ,104.6500 ,104.8500 ,108.8500 ,133.3700 ,104.6700 ,104.1200 ,114.1300 ,97.3400 ,2197.6700 ,669.8300 ,1.7000 ,59.8800 ,0.3030 ,258.2630 ,3.1700 ,3.5000 ,3.3300 ,2.4500 ,3.0500 ,3.8700 ,1.8600 ,116.6000 ,115.4000 ,14.6900 ,102.5645 ,96.6099 ,97.3533 ,163.4515 ,63.1968 ,1.6000 
20.Jan,92.4000 ,90.8000 ,116.4000 ,116.8000 ,107.4000 ,111.6000 ,96.8000 ,90.6000 ,115.8000 ,108.3000 ,101.6000 ,113.0000 ,108.4000 ,101.4000 ,113.0000 ,91.3000 ,81.1000 ,108.5000 ,101.4000 ,113.0000 ,105.0000 ,105.4000 ,4.1000 ,27952.0000 ,26800.0000 ,754.0000 ,306.0000 ,81.0000 ,93.0000 ,90.6000 ,88.6000 ,92.4000 ,74.0000 ,79.0000 ,84.0000 ,82.0000 ,91.0000 ,108.3000 ,123.4000 ,110.4000 ,112.6000 ,187669.2000 ,112673.7000 ,74995.6000 ,940157.3000 ,2931256.6000 ,1.4700 ,1.6900 ,1.3160 ,1.3730 ,1.4790 ,1.6560 ,1.9550 ,1.2500 ,8.0680 ,1164.2800 ,1065.2500 ,1293.7000 ,1522.2800 ,890.9400 ,1200.6600 ,100.0900 ,97.1600 ,99.6200 ,99.5400 ,100.4000 ,105.0900 ,99.8600 ,99.4000 ,117.9400 ,103.1700 ,104.1500 ,104.9000 ,103.3500 ,113.0000 ,130.8600 ,102.5600 ,103.4500 ,114.2400 ,96.6700 ,2119.0100 ,642.4800 ,1.8000 ,57.5200 ,0.3400 ,258.6820 ,3.1200 ,3.4800 ,3.2900 ,2.5100 ,3.0100 ,3.8300 ,1.7600 ,116.9000 ,115.6000 ,19.2900 ,104.5811 ,92.5631 ,98.6732 ,190.2839 ,71.8780 ,1.5400 
20.Feb,90.2000 ,89.8000 ,111.8000 ,113.8000 ,103.4000 ,115.6000 ,87.7000 ,83.3000 ,111.6000 ,105.5000 ,97.7000 ,114.3000 ,105.3000 ,97.3000 ,114.3000 ,89.3000 ,78.0000 ,105.4000 ,97.3000 ,114.3000 ,107.0000 ,106.7000 ,4.1000 ,27991.0000 ,26838.0000 ,734.0000 ,305.0000 ,98.0000 ,114.0000 ,90.9000 ,89.1000 ,92.6000 ,76.0000 ,82.0000 ,85.0000 ,84.0000 ,92.0000 ,105.5000 ,119.6000 ,106.1000 ,112.1000 ,188982.1000 ,113895.7000 ,75086.4000 ,960386.4000 ,2965630.7000 ,1.4200 ,1.6500 ,1.2140 ,1.2530 ,1.3570 ,1.5400 ,1.8470 ,1.2500 ,7.9710 ,1193.7900 ,1084.9500 ,1302.3300 ,1548.4300 ,898.9900 ,1222.7300 ,100.1600 ,96.6600 ,99.7800 ,100.3300 ,100.3100 ,105.0600 ,100.0400 ,99.7400 ,119.5500 ,103.5100 ,104.2100 ,105.3900 ,103.8000 ,117.8200 ,113.1200 ,103.8500 ,104.3100 ,116.5200 ,97.5500 ,1987.0100 ,610.7300 ,1.7000 ,50.5400 ,0.3260 ,259.0070 ,2.9600 ,3.3500 ,3.1100 ,2.5200 ,2.9300 ,3.7000 ,1.5000 ,117.2000 ,115.9000 ,33.8100 ,122.8011 ,84.2721 ,124.3700 ,76.2263 ,43.1770 ,1.4300 
